time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-05-02T20:49:43.322Z,5.3234,94.617,63.97,5,mb,,132,2.322,0.87,us,us7000dzjv,2021-05-02T21:02:32.040Z,"82 km WSW of Banda Aceh, Indonesia",earthquake,9.6,7.6,0.099,32,reviewed,us,us
2021-05-02T13:02:17.751Z,4.0461,95.7566,50.03,4.6,mb,,129,1.669,0.86,us,us7000e127,2021-05-09T13:22:24.040Z,"42 km WSW of Meulaboh, Indonesia",earthquake,7.6,8.2,0.136,16,reviewed,us,us
2021-04-17T01:04:53.776Z,5.1158,95.4508,100.74,5,mww,,50,1.494,1.13,us,us6000e29d,2021-04-17T02:23:46.858Z,"48 km SSE of Banda Aceh, Indonesia",earthquake,8.2,6.3,0.098,10,reviewed,us,us
2021-04-09T15:14:31.108Z,4.8116,96.2611,27.57,4.3,mb,,167,0.799,1.01,us,us6000e1v6,2021-04-25T16:21:42.040Z,"44 km S of Reuleuet, Indonesia",earthquake,5.9,5.9,0.153,14,reviewed,us,us
2021-04-09T08:08:58.946Z,3.0723,96.3738,55.17,4.2,mb,,173,2.127,0.48,us,us6000e08g,2021-04-23T04:41:16.040Z,"65 km N of Sinabang, Indonesia",earthquake,7.4,9.2,0.121,19,reviewed,us,us
2021-04-08T17:40:42.267Z,3.7847,95.7753,66.13,4.4,mb,,95,1.85,0.82,us,us6000e03d,2021-05-05T14:02:32.040Z,"55 km SW of Meulaboh, Indonesia",earthquake,7.9,8.3,0.102,28,reviewed,us,us
2021-04-06T02:36:30.481Z,4.2645,96.0982,67.22,4,mb,,178,1.278,0.58,us,us6000dzbm,2021-04-20T03:21:44.040Z,"13 km NNW of Meulaboh, Indonesia",earthquake,7,9.7,0.144,13,reviewed,us,us
2021-03-24T06:44:29.347Z,5.1787,94.3998,54.68,4.4,mb,,98,2.537,0.91,us,us6000dvyu,2021-04-16T12:30:49.040Z,"110 km WSW of Banda Aceh, Indonesia",earthquake,10.3,8.4,0.148,13,reviewed,us,us
2021-03-16T15:01:32.010Z,4.2565,97.5425,193.78,4.4,mb,,98,1.133,0.75,us,us6000dwcg,2021-04-21T13:17:34.040Z,"52 km WSW of Langsa, Indonesia",earthquake,4.3,6.9,0.139,15,reviewed,us,us
2021-03-04T23:36:58.479Z,5.0051,96.0004,10,4.5,mb,,174,0.968,0.97,us,us7000dhub,2021-05-13T22:45:52.040Z,"39 km SW of Reuleuet, Indonesia",earthquake,4.6,1.9,0.145,14,reviewed,us,us
